age,income,education,gender,hours_per_week,occupation,marital_status,health_condition
62,38547.183820726736,Doctorado,Masculino,24.0,Ingeniero,Soltero,Regular
18,,Universitario,Otro,27.0,nan,Casado,Buena
21,64780.456677832204,Maestría,Femenino,57.0,Comerciante,Divorciado,Buena
21,80053.81627609472,Universitario,Masculino,30.0,Comerciante,Soltero,Mala
57,52141.996103957106,Bachillerato,Otro,48.0,nan,Soltero,Buena
27,55188.372238940574,Doctorado,Otro,30.0,Estudiante,Divorciado,Regular
37,66839.5448546203,Doctorado,Masculino,37.0,Ama de casa,Viudo,Regular
39,43163.17967137052,Universitario,Masculino,31.0,Comerciante,Divorciado,Buena
54,,Maestría,Masculino,37.0,Estudiante,Casado,Regular
41,70130.82188122215,Universitario,Otro,39.0,Artista,Soltero,Mala
24,51128.306222179024,Maestría,Otro,40.0,Estudiante,Casado,Mala
42,27345.43637363384,Bachillerato,Masculino,25.0,Comerciante,Viudo,Buena
42,48626.18860820662,Bachillerato,Masculino,43.0,Estudiante,Viudo,Mala
30,30816.659106249834,Bachillerato,Femenino,39.0,Ingeniero,Viudo,Mala
19,46705.72074083712,Doctorado,Otro,54.0,nan,Soltero,Mala
56,53093.84675112607,Maestría,Masculino,41.0,Ingeniero,Soltero,Buena
57,53497.535797836754,Universitario,Masculino,34.0,Ama de casa,Casado,Regular
41,53232.75358951609,Maestría,Femenino,21.0,Ama de casa,Soltero,Regular
64,42321.150902340596,Universitario,Femenino,34.0,nan,Viudo,Buena
42,53024.14835045393,Bachillerato,Masculino,40.0,Estudiante,Viudo,Buena
35,46581.9718119279,Universitario,Otro,59.0,Doctor,Casado,Regular
55,39594.073732435565,Bachillerato,Otro,38.0,Doctor,Soltero,Regular
43,32400.814927992724,Universitario,Femenino,50.0,Artista,Soltero,Buena
31,45838.883887578864,Universitario,Masculino,52.0,nan,Viudo,Mala
26,25975.4118909076,Maestría,Otro,33.0,Ama de casa,Soltero,Buena
27,66359.00987054192,Doctorado,Masculino,24.0,Ama de casa,Viudo,Buena
38,32595.51370196997,Bachillerato,Otro,,Comerciante,Casado,Regular
34,66893.72684318527,Doctorado,Femenino,45.0,Ama de casa,Soltero,Mala
23,34961.404880443566,Bachillerato,Femenino,53.0,nan,Divorciado,Mala
33,50406.58016790095,Bachillerato,Masculino,36.0,Comerciante,Casado,Mala
18,46131.46897284489,Universitario,Masculino,21.0,Artista,Soltero,Mala
36,56922.31843979331,Universitario,Masculino,58.0,Ama de casa,Casado,Mala
53,47615.19377727025,Bachillerato,Masculino,53.0,nan,Soltero,Mala
42,52760.24360532922,Doctorado,Femenino,42.0,Artista,Soltero,Buena
47,39652.20303785793,Maestría,Femenino,54.0,Doctor,Casado,Buena
37,50188.127966079,Universitario,Masculino,33.0,nan,Soltero,Buena
37,,Maestría,Masculino,57.0,Comerciante,Soltero,Regular
32,,Bachillerato,Otro,22.0,Estudiante,Soltero,Buena
57,46769.00827697172,Maestría,Femenino,51.0,Artista,Soltero,Regular
50,29495.36462806576,Bachillerato,Femenino,37.0,Ingeniero,Divorciado,Regular
19,44848.625808012155,Bachillerato,Femenino,55.0,Ama de casa,Viudo,Regular
27,54382.347261726194,Universitario,Femenino,37.0,Doctor,Soltero,Regular
50,32943.80539709778,Doctorado,Otro,25.0,Ama de casa,Viudo,Regular
49,79382.13057751612,Doctorado,Otro,47.0,Doctor,Divorciado,Mala
28,62873.34787839116,Doctorado,Masculino,57.0,Estudiante,Divorciado,Mala
41,70014.17286056963,Doctorado,Femenino,23.0,nan,Divorciado,Mala
53,47720.821751329386,Universitario,Otro,43.0,Doctor,Soltero,Buena
29,48062.77542668355,Universitario,Femenino,24.0,Artista,Casado,Regular
46,40464.20447314418,Universitario,Femenino,20.0,Ama de casa,Casado,Buena
52,32905.33700734639,Bachillerato,Masculino,43.0,Estudiante,Soltero,Buena
18,,Universitario,Masculino,21.0,Doctor,Soltero,Mala
18,31311.22974415405,Maestría,Masculino,53.0,Ingeniero,Viudo,Regular
54,,Doctorado,Femenino,59.0,Comerciante,Soltero,Buena
23,31361.748827166834,Universitario,Otro,50.0,Ingeniero,Casado,Mala
56,18326.909582588432,Universitario,Femenino,50.0,nan,Casado,Mala
58,42544.18448603225,Doctorado,Masculino,46.0,Comerciante,Soltero,Buena
35,36899.66231215404,Universitario,Masculino,51.0,Comerciante,Viudo,Regular
33,67367.77218299638,Bachillerato,Femenino,,Estudiante,Viudo,Regular
22,65104.76042075867,Universitario,Femenino,22.0,Ingeniero,Divorciado,Buena
59,57453.28774343043,Maestría,Femenino,32.0,Doctor,Divorciado,Mala
